,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty50 Div Point,       191.41,       191.41,       191.41,       191.41,       191.41,0
,Nifty100 Liq 15,      6046.40,      6072.80,      6164.55,      6069.90,      6082.65,36.25
,Nifty CPSE,      5435.60,      5473.25,      5662.35,      5469.30,      5647.80,212.2
,Nifty GrowSect 15,     10945.15,     10976.60,     11143.10,     10975.75,     11034.70,89.55
,Nifty50 PR 2x Lev,     11753.90,     11876.65,     12215.90,     11869.25,     11921.15,167.25
,Nifty50 PR 1x Inv,       221.10,       219.95,       220.05,       216.75,       219.55,-1.55
,Nifty50 TR 2x Lev,     16773.85,     16949.00,     17433.15,     16938.45,     17012.50,238.65
,Nifty50 TR 1x Inv,       185.30,       184.35,       184.40,       181.65,       184.00,-1.3
,Nifty50 Value 20,     11970.40,     12046.10,     12272.00,     12045.05,     12145.90,175.5
,Nifty Mid Liq 15,     11118.15,     11167.50,     11281.90,     11153.15,     11211.20,93.05
,Nifty Pvt Bank,     23623.75,     23799.50,     23956.45,     23422.65,     23453.50,-170.25
,NIFTY100 Qualty30,      4999.35,      5020.45,      5072.30,      5016.75,      5034.15,34.8
,Nifty GS 8 13Yr,      2555.64,      2556.13,      2556.13,      2556.13,      2556.13,.49
,Nifty GS 10Yr,      2263.58,      2264.02,      2264.02,      2264.02,      2264.02,.44
,Nifty GS 10Yr Cln,       877.10,       877.10,       877.10,       877.10,       877.10,0
,Nifty GS 4 8Yr,      2771.27,      2771.81,      2771.81,      2771.81,      2771.81,.54
,Nifty GS 11 15Yr,      2817.91,      2818.47,      2818.47,      2818.47,      2818.47,.56
,Nifty GS 15YrPlus,      3104.77,      3105.38,      3105.38,      3105.38,      3105.38,.61
,Nifty GS Compsite,      2643.53,      2644.05,      2644.05,      2644.05,      2644.05,.52
,NIFTY HEALTHCARE,     11371.50,     11387.80,     11450.15,     11355.00,     11392.55,21.05
,NIFTY CONSR DURBL,     31332.30,     31447.20,     31697.55,     31281.55,     31430.50,98.2
,NIFTY OIL AND GAS,     10727.95,     10825.85,     11159.80,     10816.65,     11111.50,383.55
,NIFTY500 MULTICAP,     13764.85,     13842.70,     13967.60,     13829.15,     13852.80,87.95
,NIFTY LARGEMID250,     13659.95,     13727.55,     13854.30,     13720.90,     13743.85,83.9
,NIFTY MID SELECT,     10631.55,     10704.70,     10794.35,     10689.90,     10728.75,97.2
,NIFTY TOTAL MKT,     11135.05,     11195.90,     11315.15,     11187.90,     11208.85,73.8
,NIFTY MICROCAP250,     20422.10,     20552.55,     20670.10,     20422.90,     20493.10,71
,NIFTY IND DIGITAL,      7541.00,      7529.35,      7633.25,      7529.00,      7584.25,43.25

,ADVANCES,1336
,DECLINES,1211
,UNCHANGED,82

,Total securities that have hit their price bands today,228

,TOP 25 Securities Today :
